monopoly n.垄断，专卖；垄断物，垄断商品；垄断企业；垄断集团
frequency n.频度，频率；频繁；（电台广播或传输信号的）频带，波段；（波的）振动频率
rig vt.（用不正当手段）操纵，垄断；给（船、桅杆）装配帆及索具；用临时替代材料迅速搭起
devotion n.（对人、活动的）热爱；忠诚，奉献；热情；宗教礼拜
mental adj.精神的；心理的；智力的；精神病的；通过大脑的；在脑中进行的
embarrass v.使尴尬；使困窘；使为难
plant n.植物；工厂；车间；设备； 发电厂
environment n.生态环境；自然环境；环境，条件
precedent n.先例，前例；范例，惯例
try v.尝试，努力；试验，做；审讯，审判
scan v.反复查看；审视；<美>快读，浏览；扫描；计算机扫描；扫描检查（物体或身体部位等）
performance n.（机器，产品或车辆的）性能；工作情况；表现； 表演
unfold v.展开；打开；（系列事件，信息）逐渐展开；披露，呈现；透露；展现（思想，信息）
restore v.修复（建筑物、艺术品等）；使恢复原样；使复位；使复职；恢复（权利，做法，情况）；归还
band n.流行音乐乐队，音乐组合；（包扎）带；一群，一伙；带；条纹；波段
period n.（地质年代划分的）纪；时期；（一段）时间，时期，阶段；时代； 句号
peak n.山顶，山峰；顶点，顶峰；峰值，极值；帽舌
electricity n.电，电能；电力供应；强烈的感情，激动
productive adj.富有生产力的；多产的；富饶的；肥沃的；富有成效的
library n.图书馆；藏书
pose vt.提出（问题或考虑对象）；形成，构成（问题，危险）；摆姿势；佯装，假扮；招摇，炫耀
exhibit v.展览，展出；表现（某一品质，某种行为）；显示；显露；显出…的征兆（或症状）
prescription n.处方，药方；开处方，开药方；诀窍，秘诀；权威推荐
efficient adj.（系统或机器）效率高的，高效的
novel n.（长篇）小说
rely vi.相信，信赖；依靠，依赖，依仗
negotiate v.谈判，洽谈，协商；通过洽谈达成，谈成；通过，越过（险要路段）
primitive adj.原始的，早期的；远古的；落后的；最基本的，极简单的，质朴的
perfume n.香气，芳香；香水，香料
shoot vt.开（枪或其他武器），射击；射死；射伤；射中；拍摄；疾驰
investigate v.调查；核查，检查（为发现某种情况）；深入研究（多指科学或学术领域）
specialist n.医学专家；专科医生
part n.一部分；部分，局部；成分，要素；点，部分；【非正式】（尤指界限不明的）地区，区域；配件；零件；部件；作用；份儿
burden n.〈喻〉精神负担；重担，重任
overcome vt.解决（问题）；克服（困难）；战胜；受到…的极大影响
notion n.概念；观念；看法，见解；一时的念头；突发的奇想
cheap adj.便宜的；（因劣质而）廉价的
register v.登记，注册，记录
relevant adj.紧密相关的，切题的，适宜的；（与当前时代环境等）相符的，相称的
engagement n.保证; 约会; 参与; 订婚; 婚约; 受雇, 受聘; 交战, 战斗; 啮合
strive v.努力，奋斗，力争
potential n.潜力, 潜能; 潜在性, 可能性; [物]电势
legend n.传说，传奇；传奇人物
professional adj.职业的；专业的；（人）职业性的；非业余的；有专业人员水平的；与专业人员相称的
lead vi.领路, 带路; 导致; 通向; 领导, 率领; 领先; 作为头条刊登; 领唱
edge n.边；边线，边界；（陡坡的）沿边部分，边缘地区；优势，优越之处；刀刃
underestimate v.低估；不够重视；轻视
privilege n.（个人或群体的）特权；特惠待遇；荣幸
confusion n.不确定；疑惑；慌张，慌乱；紊乱，无秩序；混乱；杂乱；糊涂，迷茫
series n.系列；系列出版物；系列剧；连续剧；丛书
probability n.可能性，可能发生的事；概率
superiority n.优越性；优势；优越感；神气活现的样子，盛气凌人的行为
represent vt.（尤指以正式身份）代表（某人）；（作为典型）代表；象征，体现；构成；相当于
society n.社会；社群；团体；学会，协会；交往；上流社会
thrive v.兴旺发达，繁荣；旺盛；茁壮成长；植物茂盛生长
integrity n.诚实，正直；完整，完好
warehouse n.仓库；货栈；货仓
maintain v.维持，保持（某种状态或形势）；维持（部队的）给养；维护，养护，保养；坚称，断言
community n.社会；社区；社工；社区（或社会）服务；同住一地区（或有共同特征）的一群人；（动植物的）群落
holder n.持有者；占有者；支托物，容器
budget n.（为某目的而拨的）款项，专款；国家预算；预算（案）
encouragement n.鼓励，激励，鼓舞，促进；劝说（继续）
even adv.甚至；即使（用于强调令人吃惊或极端之事）；甚至更，还（用于在比较之中表示强调）
familiar adj.熟悉的，熟识的；熟知的，通晓的；经常遇见（或经历）的；普通的，常见的
interrupt v.中止，中断，打断 （活动或过程）
resemblance n.相像，相似
capital n.首都；资金；大写字母
drag v.（用力地或粗鲁地、费力地）拉，拽，拖
coat n.外套，外衣；防护外衣；（动物的）皮毛
stubborn adj.顽固的，执拗的，倔强的
string n.线，细绳；一系列，一连串（类似物品或事件）
hug n.（尤指表示感情）紧抱；热烈拥抱
substantial adj.大量的；相当程度的；实质的；基本上的，大体上的；很重要的；很有价值的
slogan n.（与政党、运动或团体有关的）标语；口号；简短醒目的广告语；难忘的广告语
subordinate adj.隶属的；下级的；次要的
nurture vt.养育，培育，滋养
bonus n.（附带的，没想到的）好处，优点；奖金，红利；额外给予的东西
masterpiece n.杰作
slaughter v.屠宰，屠杀，杀戮；使惨败
pole n.极（点）；竿，杆，支杆
galaxy n.星系；银河系，银河
plead v.恳求，央求，请求；为…辩护；认罪； 申辩；推脱，找借口
spotlight n.（舞台的）聚光灯，公众注意的中心
reign n.主宰期，支配期，极盛期；君主统治时期；任期
ignite v.（使）燃烧，点燃；【喻】激起（情绪，情势）
intuition n.直觉，直觉能力
triple v.使增至三倍，使成三倍
stomach n.胃, 腹部; 胃口, 食欲; 欲望
blink vi.眨眼睛；闪亮，闪烁
masculine adj.男人的；具有男子气质的；阳性的
supplementary adj.增补的，补充的
eccentric adj.（人或其行为、举止）不合常规的，古怪的，怪僻的
scatter v.散布；分散；播撒
dome n.穹顶，圆屋顶；穹状物
petition n.请愿书；诉状；祈求
button n.（用户界面的）按钮；纽扣
flip vt.翻转，使翻转
reconcile v.使共存；使和谐一致，调和；使一致，使符合；将就，妥协
pipe n.管道，管子，输送管；烟斗，烟袋；管乐器
elite n.精英，杰出人物；上层人士，掌权人物
brilliant adj.〈英，非正式〉极好的，非凡的；有才能的，聪明的
lubricate v.润滑，加润滑剂
suite n.（旅馆的）套间；一套家具；（同类物的）套，组，系列；【计算机】（软件的）套件
optimist n.乐观的人，乐观主义者
fraud n.欺诈，诈骗；骗子；伪品
cardinal adj.最重要的, 基本的, 鲜红的
dreadful adj.可怕的，令人痛苦的；极其糟糕的；极其严重的
liner n.班机；定期列车； 远洋客轮；衬里；衬垫； 眼线笔； 眼线膏
cripple vt.损坏；严重削弱；使陷于瘫痪；使受伤致残
pendulum n.摆；钟摆；【喻】摇摆不定的局面
straightforward adj.简单的，易懂的；易做的；坦诚的，率直的
thrill v.使兴奋, 使激动；使颤动；震颤；感到非常兴奋；感到紧张
mute adj.（人）哑的，沉默的；（活动）无声的
composition n.组成，构成；混合，综合；构造；（尤指学生的）作文；作曲
precede v.先于，（发生、走）在…前面
batter v.连续猛击
sober adj.未喝醉的，清醒的；严肃的；明智的；持重的
provocative adj.挑衅的；挑拨的，煽动的；挑逗的；激怒的，刺激的
distort v.使变形；歪曲；误报；曲解
conceive v.构思，设想；使受孕
rebellion n.反抗，反对；叛乱，反叛，叛逆，谋反；公开蔑视
moon n.月球；月亮；卫星
correlation n.联系；关联；相互关系
legitimate adj.合乎逻辑的，正当的；法律认可的
bear vt.（人）携带，拿；承担，担负（责任）；生育（孩子）；以（姓名，头衔）相称；印有；写有；刻有；绘有；忍受
protest v.抗议，对…提出抗议，提出异议；反对
combat n.搏斗；打仗；战斗
disposal n.处理; 解决; 清除; 赠送; 出售; 排列; 布置；废物处理装置
bridge n.桥, 桥梁; 桥牌; 舰桥; 鼻梁; 鼻梁架; 沟通的桥梁, 纽带
virtue n.美德；优点，长处
response n.（对测验、问卷等）回答，答复；反应
commentary n.（关于事件或情况的）评论；解说
hinge n.铰链，合叶
paper n.纸，纸张；（尤指在学术演讲或讨论中宣读的或在学术刊物上发表的）文章；论文；文件
grip v.紧握; 紧抓; 咬住; 夹牢; 吸引住; 有吸引力
intellectual adj.要动脑的，脑力的；智力的，才智的
dramatic adj.戏剧的，戏剧表演的；戏剧学的；突然的；显著的；突出的；令人激动的，给人深刻印象的
extraordinary adj.意想不到的；非凡的，非同寻常的；卓越的；特大（或多）的；特派的；临时的
deficiency n.缺乏，不足；缺陷，缺点
privacy n.（不受干扰的）个人自由；隐私，私生活，私事；秘密；私下
pressure n.（经劝说或胁迫施加的）压力；压强；心理压力；影响；影响力；紧迫，催促；大气压
rehearsal n.排练；练习，演习；叙述；详述，列举；(phrase: dress rehearsal) （稍后更重大事件的）预演
stimulus n.刺激（器官、组织的）事物，刺激；激励物
erect v.建造或竖起（楼房、墙壁或建筑物）；创立（理论）；建立（体制）
fuel n.燃料；燃烧剂；（为身体提供能量的）食物，养料；饮料；药剂
contributor n.捐献者，捐助者；促成因素
status n.情形，状态，状况；相对社会地位；相对身份；重要地位，要人身份
tract n.(连通身体组织或器官的)道, 束; 地带, 大片土地; 小册子
general adj.全体的, 普遍的, 总的; 一般的, 常规的; 笼统的, 大体的; 首席的, 级别最高的; 将军级的
immediate adj.立即的，即刻的，即时的；（关系，行动）直接的；（时间）最近的，（关系）最亲的，（地位）最接近的
remain vi.留下，遗留；留在，逗留；继续存在
huddle v.聚集在一起，挤作一团；把身子蜷成一团，蜷缩
hazard n.危险，风险
narrative n.记叙文；讲述；故事
conscious adj.（意见，想法）自觉的；了解的；意识到的，察觉的；清醒的，有知觉的
wage n.工资，工钱（尤指日薪或周薪）
disaster n.不幸事件；不幸；灾难，大祸（如事故或自然灾害）
legacy n.遗赠的财物，遗产
batch n.一批，一组，一群；一批生产量
cable n.缆绳，钢索；电缆；电报；有线传输系统
distinguish v.识别；区分；感觉到差别；指出差别；使区别于他物
reflect v.忠实反映，恰当表明；深思，反省；反射
furniture n.家具
literature n.（尤指有传世艺术价值的优秀）文学作品；文献
plunge v.纵身投入，一头进入；骤降，（价值）猛跌
reverse v.倒，倒退；使…逆转，把…颠倒过来；撤销；彻底转变
perspective n.（观察问题的）视角；观点，看法；透视
procedure n.程序，步骤，手续；外科手术
preliminary adj.初步的；起始的；预备的
quantitative adj.（数）量的；用数量表示的；定量的；量化的
revolution n.革命，彻底变革；革命性巨变；大变革；旋转
outward adj.向外的
industry n.工业，产业；行业
character n.（小说、戏剧或电影的）人物，角色；（演员扮演的）角色；个性，品质；【计算机】字符；具有某种个性的人；特性，特征，特色
season n.季节；节期，时节；（瓜果、蔬菜等的）旺季，当令期；雨季； （一部戏剧在一地的）演出期
scheme n.计划，规划，方案；阴谋，诡计
stroll n.散步；溜达；闲逛
region n.地区，地方，区域（尤指有明显特征但不一定有固定边界的）；（身体的）区，部，部位；范围，幅度
stage n.舞台；阶段；时期；步骤； 驿站
conscientious adj.凭良心的，与良心有关的；认真的，勤勤恳恳的
bypass n.（通过分流手术做的）分路，旁路，旁通管
external adj.外面的；外部的；外表的；表面的；外来的；外界的
latitude n.纬度；（行动，思想的）自由度
pool n.游泳池; 水塘; 水池; 水洼; (液体等)一摊, 一片; 台球; 共用的资源; 足球赌博; 赌金注总额; 库, 血库; 集合基金; 联合投资
desire n.渴望；欲望；愿望
overturn v.使翻转；使倾覆，使倒下；推翻（既定事实、决定，体制等）；使无效
vertical adj.垂直的；竖的
polish v.擦亮，上光；改进，使完美，润色
juvenile adj.（与）青少年（有关）的；幼稚的，不成熟的
simulate vt.模仿，模拟；假装，冒充
culminate vi.（culminate in/with）以……告终；最终达到
desert v.遗弃，背弃（人，事业，组织）；擅离（部队），逃走
equip vt.装备，配备；使做好思想准备，使有所准备，使有能力
barrier n.【喻】障碍；隔阂；栅栏；检票口；屏障
estimate v.估计，估价；判断
reside vi.居住在；定居于；位（于）；（性质等）存在，在于
relieve v.缓解，减轻，解除；使放心，使宽慰，使欣慰；使解脱
recognize vt.承认；确认；认可；识别，辨别；（计算机等）自动识别（声音、印刷字体等）
encounter v.偶然碰到；遭遇，遇到（困难或敌对的事）；面临
bachelor n.单身汉; 学士(仅用于头衔或固定表达且B大写)
rank n.排，行，列；（机构或社团中的）地位；阶级；（属于或构成群体的）成员；【统计】次序排列，等级；品类；军衔，职衔
clue n.（揭露事件、解决问题的）线索，提示
committee n.委员会
superintendent n.负责人，主管人，指挥者；警长
threshold n.门槛，门口；阈，界；入门，开端，开始
relative adj.相对的; 比较的; [语法]关系的, 由关系词引导的; (级别等)相当的, 对应的
verbal adj.口头的；与文字有关的，文字上的；动词的
minimal adj.最小的；尽可能少的；最低限度的；可略而不计的
institute n.（尤指科学、教育或特定专业的）学会，协会，机构
substitute n.代替者，代替物
focus v.把注意力集中于，重视；集中；（使）调节焦距
slump vi.猛跌，大幅度下降；惨败；突然倒下
lane n.（乡间）小路，跑道；航道，航线；车道
devote v.将（时间，精力）用于（人，活动）上；献身，奉献
variation n.变化；变更；差异
corresponding adj.相应的，由此引起的
circulation n.血液循环; 流通, 环流; (货币、资料等)流通, 流传; (书报等)发行, 发行量
conflict n.冲突，抵触；（尤指持久的）意见不一；争论；（长期的）武装斗争，战争；武装冲突
religious adj.宗教的；（与）宗教崇拜（有关）的；（与）宗教教义（有关）的；虔诚的
timely adj.及时的，适时的
signal n.信号；暗号；导火线；信号灯；动机
vehicle n.交通工具，车辆；工具，手段，方法，载体
receive vt.收到；接到，接待；得到；遭受，经受（特定待遇）
relief n.救济；补助；（疼痛、不便之处、痛苦等）缓解，减轻；（忧虑或痛苦消除后感到的）宽慰，欣慰，放心
bang v.猛撞；发出砰的一声，砰砰地响；砰地敲（或推、扔）
resignation n.辞职，引退；辞职书，辞呈；屈从，顺从；听任；勉强接受
volunteer n.志愿者；志愿兵；义务工作者；自告奋勇者
maximum adj.最高的，最大的；最大限度的
capability n.（人或物的）能力范围；能力，才能，才干；容
degree n.学位；程度；度；度数（温度单位）
transfer v.转移；调动，改行；转让（财产，权利）；移交（责任）；转变（词义等）
substance n.物质，材料；实质；重要性；主旨
innovation n.革新，变革，改革；新方法；新观念；新产品
decent adj.过得去的，合意的，舒适的，满意的；好的，出色的；合乎礼仪的，得体的
contact n.接触；见面；联系；交往；关系；传达；遭遇，遇见；有用的社会关系；联系人，联络人；情报来源
setback n.挫折，倒退，失败
drill n.密集训练，反复操练（或练习）；电钻；条播作物
graduate v.从…获得学位；完成培训；（北美）从高中毕业；授予…学位（或其他学术资格）
compose v.创作（艺术作品，尤指音乐，诗歌）；组成，构成（整体或整体的一定份额）；使镇静
extinguish v.熄灭；扑灭；消灭；毁灭
resort v.（尤指不可取的方法、手段）向…求助；采取，诉诸；〈正式〉常去；（成群结队地）去
construct v.建筑；建造；建立；构筑（某物）；组成；构成；形成（观念，理论）
vulnerable adj.（身体或情感上）易受攻击的，易受伤害的；脆弱的
solution n.解决方法，解决方案；溶液；溶体
fine adj.优质的，高品质的；美好的；纤细的；健康的；晴朗的 ；精致的；好的，令人满意的
interact v.交流，交往，互动；相互作用，相互影响
dictate v.口授, 口述; 使听写; 命令, 发号施令; 支配
house n.房屋（尤指独幢式两层以上者）；场所；公司，商号；公共机构
combine v.结合，联合，合并；同时参与；兼有；为共同目的而联合
deal v.处理；论及，讨论；应对（难缠的人，困难局面）；发牌
curse v.诅咒；咒骂
conversion n.转变，变换；换算；改变信仰，皈依
vision n.视力，视觉；想象，构想；眼力，远见
candidate n.待选人（或物）；考生；求职申请人；选举候选人
benefit n.利益，益处，好处；优势，成效；（国家或保险计划按规定支付的）补助费，救济金，抚恤金，保险金
positive adj.积极的，有喜人进步（或进展、改观）的；建设性的，乐观的，自信的；肯定的；阳性的；正数的；正极的
comprehend v.理解；领悟
radical adj.（尤指变化或行动）根本的；意义深远的，彻底的；反传统的；创新的，革新的；非正统的；过激的；激进的，激进派的
concentrate v.集中（人，事物）（于一处）；聚集；全神贯注；全力以赴；聚精会神；首要处理（某事）；注重
downfall n.垮台，衰落；垮台（或衰落等）的原因
ideal adj.理想的，完美的，称心如意的，最佳的
sticky adj.（物质）黏性的；发黏的；（天气）湿热的
classic adj.典型的；一流的，经典的
recover v.恢复（健康，精神，体力）；找回，重获（丢失物）；赚回，取得（补偿）
emotion n.情感，情绪；激情
post n.邮政；邮件；岗位，职位；哨所；柱，桩，杆；（尤指在博客，社交媒体或应用上发布的）帖子
consecutive adj.连续的，不断的；接连而来的
transmit v.传送，输送，传递；传达，传递（思想，情感）；表达；发送信号；传导（声、电等）
tilt v.（使）倾斜，倾侧
prize n.奖，奖品，奖金，奖赏；珍品；值得争取的具有极高价值的奖励
file n.档案，卷宗；【计算机】文件；锉，锉刀
surgery n.外科手术；外科；诊所
intensive adj.（尤指商业、经济中）集中使用的；密集使用的
capacity n.能力，才能；理解能力；身份，角色，职位；生产量，生产力；容量
depression n.沮丧，抑郁；萧条；抑郁症；洼地，浅坑
conservation n.节约（资源），防止浪费；保护，保存
settle v.安定，安顿；（在新的环境中）渐渐感到自在，安下心来；确定，决定；解决，结束（争端、纠纷）；结算（账单）；沉降
cereal n.可食用的谷类作物
infinite adj.大量的；极度的；无限的，无穷的；无边的；无法计量（或计算）的，无数的
suspicion n.猜疑，怀疑
neglect v.忽视，忽略；疏忽；疏漏
express vt.表达（思想，情感）；表示，表露；代表
ideology n.（团体、个人的）思维方式，意识形态；（尤指构成经济、政治理论、政策基础的）思想，思想体系
decorate v.装饰，装修
emission n.（尤指气体或辐射的）发出，散发，排放；排放物，散发物
relay v.转送，转发；播放，转播；转达信息，转告（消息）
discount vt.把…打折扣；对（可能性，事实）不全信，对…不予考虑
clash n.冲突；交锋；比赛；差别
consumption n.吃；喝；摄取；消费；消耗量；消费量；（资源）耗尽；消耗；观看（或收听）的节目
inevitable adj.必然发生的；不可避免的
treasure n.珍品，宝物，财富
engage v.参加，从事；卷入；订婚；〈主英〉雇用，聘请；吸引住，使感兴趣；进攻，交战
concentration n.集中；集结；浓度；专心
option n.选项；选择；选修课；选择自由，选择能力，选择权
course n.过程, 进展; 航向, 行动方向; 行为做法; 道路, 路线; 课程, 科目; 一道菜; 追踪狩猎
client n.（律师等的）当事人；委托人；客户；（社会或医疗服务的）当事人；病人；客户端
branch n.（家族的）分支；分科；（语言的）分支，语支；（企业或机构的）分部，分行，分号
piece n.块，张，片，段；碎块，断片；篇，段，首，幅；一份股权；桩，项，番，条；（工作量或产品的）件
residential adj.作住所用的；私人住宅的；（学生）寄宿的
tub n.桶，盆；饭盒；浴缸，浴盆
elementary adj.基本的，初级的；简单的，容易的
reason n.理由，原因，诱因；道理，情理；理性，明智；常识
spectacle n.精彩表演; 壮观景象; 出人意料的情况; (复数)眼镜
ultimate adj.最后的, 最终的; 极端的, 终极的; 根本的, 基本的; 最大的; 最高的; 合计的
vocal adj.嗓音的; 发声的; 大声表达的, 口述的; 直言不讳的; 喜欢畅所欲言的;元音的; 浊音的
target n.目标；指标
implication n.暗示，含义；可能引发的后果
significant adj.有意义的；重要的，值得注意的；意味深长的；显著的
massive adj.大量的，大规模的；厚重的，大块的；大而重的
intense adj.（行动）高度集中的；强烈的，剧烈的；强劲的
moral adj.道德（上）的；有道德的，品行端正的
jog v.（健身）慢跑；轻击，轻撞
gaze v.凝视，注视
embed vt.把（物体）牢牢嵌入；埋置；【喻】使（观点，情感）深植于
nutrition n.营养学；食物；营养物；养料的供给；养料的摄取
primary adj.首要的，主要的；最初的；原本的；第一手的, 直接的；初级的, 小学的；初等的
present adj.目前的, 现在的；出席的, 在场的
rhythm n.（运动或声音的）韵律，节律；规律性变化
violate v.违反，违背；侵犯；使人不得安宁；亵渎，污损；强奸
transplant v.移植；移栽；移居，迁居
counsel n.劝告，忠告，建议；法律顾问；律师
comprehension n.理解（力），领悟
convert v.转变（形态、性质、功能）；改变；（使）改变信仰
device n.（尤指机械或电子）装置；（有特定目的的）计划，方式，诡计
machinery n.机器，机械
conclude v.下结论；总结；推断；断定
inject v.注射（药物、疫苗等）；添加，增加；给…投入（资金）
inevitably adv.必然发生地；不可避免地
weird adj.【非正式】十分奇怪的；奇异的；神秘而可怕的
satisfaction n.满意；满足；妥善处理；补偿
referee v.仲裁，裁判；审阅，鉴定
prospect n.（成功或发财的）机会，可能性；前途，前景
essential adj.基本的； 本质的；必不可少的；绝对必要的；非常重要的
foremost adj.最突出的，最杰出的，首要的
kidnap v.劫持；绑架
pretty adv.【非正式】相当地；颇
triumph n.胜利；伟绩，伟业
complex adj.难以分析的；费解的；错综复杂的
might aux. v.可能，会，也许
dart n.飞镖，飞镖游戏；急驰，飞奔
share v.与…分享；共同使用；共同居住；共享；与…共有（观点，品质）；（在社交网站或应用上）发表；转发；分担, 分摊；向…倾诉（尤指隐私）
criticism n.批评；批判；指责；评论；评价
compete v.竞争，角逐；比赛
expression n.表达；陈述；（艺术作品或乐曲演奏中的）感情传达；表情；词句，措词；表达方式；措辞
demonstrate v.演示；展示；显示，表露（感情）；表现（品质）；证明，证实
communication n.传达，传授，传播；交流；通信，通讯；沟通；通讯设备；通信技术
integral adj.必需的；必要的；基本的，基础的；完整的
survive v.比…活得长；幸存；（危险或苦难之后）活下来；（困境中）坚持下来
generate v.产生（能量，尤指电）；生成；造成，引起
severe adj.（不好或可厌之物）非常的；严重的；（对人的处罚）严厉的，苛刻的；剧烈的
progressive adj.进步的，先进的；逐步的
shatter v.打碎；粉碎，使终结，使破灭；破坏，毁坏（抽象物）
mirror n.镜子；写照；反映某种情况的事物
film n.电影，影片；电影艺术；电影业；胶片，胶卷；（覆盖在表面上的）薄薄的一层，膜
glance v.一瞥；扫视
sample n.【统计】样本；标本，样品；试样（尤指分发给可能成为顾客的人的试用品或赠品）
manufacture v.生产，制造
bump v.偶尔遇见，邂逅；碰撞，撞上；颠簸而行
loom v.隐约地出现; 赫然耸现; (战争、威胁等)阴森地逼近; 在织机上织
world n.世界，地球，天下；生物界，万物；地区，国家；社会生活，社会交往；尘世，世俗；世事，世情；人生，一世；某领域的一切事物；历史时期
cling vi.坚持，墨守；牢牢粘住；难以除去；黏着，缠着，紧紧握着
competence n.能力；胜任，称职；【语言学】语言能力
transmission n.传输，传送；播送，播出的节目，发送的信号；传动装置
deny v.否认；拒绝把…给予
persistence n.坚持不懈；执意；维持，持续存在
prosper vi.兴旺，繁荣，成功；蓬勃发展；健康成长
exclusive adj.独有的；独享的；独家的；专用的；排斥性的；排他性的；奢华的；孤傲的
finance v.为（个人，企业）供给资金
culture n.文化，文明；（特定社会团体特有的）态度和行为；栽培，培育
hose n.水管；橡皮软管；水龙带
instrumental adj.起作用的, 有帮助的; 用乐器演奏的; 使用仪器的; 工具性的
retain v.保持，保留；记住；保存；继续雇用；吸收并保留（物质）
ingredient n.成分，（烹饪的）原料；因素，要素
marble n.大理石；（用玻璃、石头等制成的）弹子；[pl.]弹子游戏
counter v.反驳；抵消
volume n.量, 额; 体积; 容积, 容量; 音量; 卷, 册; 合订本; 大量, 许多
decade n.（以尾数为“0“的年份开始的）十年，十年期；十年时间
urge v.竭力主张，强烈要求；力劝，恳求；鼓励；鼓动
slide v.(使)滑行, (使)滑动; (使)悄悄移动; 下滑; 滑落; 逐渐陷入; 逐渐恶化或退步
reap vt.【喻】获得，收到，得到（报答，好处）；取得（成果）；收获, 收割（庄稼）
pattern n.模式，方式；图案，花样；模型，样品；范本，典范
demand v.要求, 请求; 需要; 询问, 查问; 强令; 召唤
pride n.骄傲，自豪；得意，傲慢
myth n.杜撰出来的人（或事物）；神话；（普遍持有的）错误见解（或想法）；对人（或事物）的理想化看法
neutral adj.中立的，中性的
management n.（公司、组织）经营管理；管理人员；管理层
revenue n.（国家）岁入，税收；（尤指公司或组织数额庞大的）收入，收益
float v.在（液体，空气）中浮动，飘动
consume v.吃；喝；摄取（食物，饮料）；购买，消费（商品，服务）；用完，耗尽；消耗（资源）
pest n.害虫，害兽；讨厌的人（或物）
comparable adj.（人，事物）可比作…的；相似的，类似的；相当的；比得上的，可相比的
involve vt.包括，包含；牵涉，卷入；使参与（活动或形势）；使陷入（或牵扯进）
hybrid n.杂交生成的生物体，杂交植物（或动物）；混合物，合成物；油电两用车
expenditure n.经费；费用；开支；使用，消耗
kill vt.杀光，灭绝，使绝迹；致死；终止；挫败；消磨（时间）
overwhelming adj.巨大的；压倒性多数的；无法抗拒的；（尤指感情）极其强烈的
venture v.冒险；冒险旅行；敢于；猜测；以…作赌注
blunt adj.（人，话语）直率的，生硬的，耿直的；钝的
staple adj.（尤指消费方面）主要的，重要的；经常需要（或使用）的
prey v.捕食；折磨；损害；使痛苦；使烦恼
multitude n.大量的人；大量的东西；群众，大批百姓
current n.水流, 气流; 电流; 趋势, 趋向; 股, 阵
electronic adj.（装置）电子的；电子计算机（或其他电子装置）的；用电子计算机（或其他电子装置）实现的
